rms,Genre
0.008216552,Pop
0.02517181,Pop
0.034821708,Pop
0.039668545,Pop
0.044577096,Pop
0.04387855,Pop
0.041053794,Pop
0.041870493,Pop
0.040652603,Pop
0.03906188,Pop
0.037921626,Pop
0.037484527,Pop
0.03727863,Pop
0.036534324,Pop
0.03658557,Pop
0.033687897,Pop
0.030074604,Pop
0.02665189,Pop
0.026096653,Pop
0.024655068,Pop
0.024019878,Pop
0.023593806,Pop
0.02099282,Pop
0.020156203,Pop
0.020188596,Pop
0.019865083,Pop
0.019483607,Pop
0.019242926,Pop
0.021749267,Pop
0.028500628,Pop
0.03268615,Pop
0.036384214,Pop
0.036500055,Pop
0.03506081,Pop
0.03609879,Pop
0.03676998,Pop
0.038727462,Pop
0.038620807,Pop
0.036769282,Pop
0.034370843,Pop
0.03167333,Pop
0.029112555,Pop
0.026750088,Pop
0.025580602,Pop
0.024293106,Pop
0.027148077,Pop
0.03393386,Pop
0.037172407,Pop
0.038998876,Pop
0.037605207,Pop
0.033060618,Pop
0.036594056,Pop
0.038421802,Pop
0.041023474,Pop
0.04032345,Pop
0.034463603,Pop
0.031506676,Pop
0.02706956,Pop
0.027941303,Pop
0.028070396,Pop
0.026500687,Pop
0.026483571,Pop
0.02436,Pop
0.022078792,Pop
0.021377662,Pop
0.019473635,Pop
0.016651874,Pop
0.027721068,Pop
0.038302306,Pop
0.04390697,Pop
0.04756654,Pop
0.044795968,Pop
0.040094703,Pop
0.038452405,Pop
0.039026372,Pop
0.039160848,Pop
0.037075244,Pop
0.034201432,Pop
0.03073142,Pop
0.028704254,Pop
0.027985767,Pop
0.027073018,Pop
0.025873974,Pop
0.023711292,Pop
0.02248398,Pop
0.022331156,Pop
0.02351098,Pop
0.024926275,Pop
0.025972763,Pop
0.026212038,Pop
0.025784938,Pop
0.025361268,Pop
0.02441903,Pop
0.024229731,Pop
0.024181101,Pop
0.024164764,Pop
0.024214301,Pop
0.023739388,Pop
0.02324425,Pop
0.022212006,Pop
0.02682821,Pop
0.03081647,Pop
0.033176713,Pop
0.03481803,Pop
0.03206679,Pop
0.029047277,Pop
0.027379986,Pop
0.02637943,Pop
0.025291584,Pop
0.02410446,Pop
0.022512099,Pop
0.02139692,Pop
0.02122232,Pop
0.020698367,Pop
0.020009616,Pop
0.019214261,Pop
0.018552745,Pop
0.02482237,Pop
0.03285208,Pop
0.03645782,Pop
0.039461594,Pop
0.03799831,Pop
0.03305296,Pop
0.031148218,Pop
0.028531827,Pop
0.026767619,Pop
0.026195208,Pop
0.024731666,Pop
0.02538884,Pop
0.02651966,Pop
0.026942907,Pop
0.027577268,Pop
0.027086426,Pop
0.029197931,Pop
0.041515272,Pop
0.047991894,Pop
0.053244967,Pop
0.054960947,Pop
0.050576326,Pop
0.047882777,Pop
0.04509891,Pop
0.04470229,Pop
0.042123143,Pop
0.040551703,Pop
0.04103359,Pop
0.038603712,Pop
0.03785719,Pop
0.03567584,Pop
0.031689633,Pop
0.03052425,Pop
0.029036617,Pop
0.03177618,Pop
0.032672245,Pop
0.0322866,Pop
0.032077022,Pop
0.03034499,Pop
0.032279305,Pop
0.03256047,Pop
0.031994473,Pop
0.03024373,Pop
